id;file_name;data;data_content_type;version;timestamp
1;Car payment;../fake-data/blob/hipster.png;image/png;protocol Tools;2021-02-04T00:52:32
2;azure Keyboard;../fake-data/blob/hipster.png;image/png;utilize Compatible;2021-02-03T23:09:21
3;Bedfordshire;../fake-data/blob/hipster.png;image/png;sky blue PCI;2021-02-04T09:13:57
4;Kwacha;../fake-data/blob/hipster.png;image/png;orchid;2021-02-03T21:59:38
5;Garden 3rd generation;../fake-data/blob/hipster.png;image/png;Grocery even-keeled Officer;2021-02-04T12:22:50
6;methodologies ROI Intelligent;../fake-data/blob/hipster.png;image/png;Tasty;2021-02-03T21:07:41
7;auxiliary;../fake-data/blob/hipster.png;image/png;International French Southern Territories;2021-02-04T08:28:36
8;EXE;../fake-data/blob/hipster.png;image/png;Steel foreground Assurance;2021-02-03T15:59:13
9;Illinois Health Intelligent;../fake-data/blob/hipster.png;image/png;Soap;2021-02-04T14:03:21
10;Program drive Jewelery;../fake-data/blob/hipster.png;image/png;Guinea Franc dot-com;2021-02-03T17:19:38
